																											
																											
	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Sweden	46.33790654	47.85711979	45.66634868	45.5680623	48.80915281	49.38526011	50.48937839	49.1523771	50.02130541	49.11914793	46.47625056	49.49377178	51.72492979	50.57389329	52.53692349	51.52390468	50.15646589	50.01225335	49.55223812	45.35842445	50.8534744	49.78506077	50.11219947	49.37058072	48.12709856	47.18147931	49.96913175
United Kingdom	205.8852362	212.9917418	212.561831	214.7522428	221.5430339	216.8437418	225.8847437	219.2527901	221.2782266	221.8759126	222.921392	223.7353664	218.7982784	222.5270973	221.5222942	222.5925254	218.8994316	211.0067399	207.4094921	195.6131102	202.5688022	188.0369851	193.8257964	191.5707041	179.3852333	181.1045349	178.3348429
Norway	21.06972119	21.75704357	22.22586844	23.54412097	23.05301138	23.50311125	22.7926369	24.16520125	25.19366514	26.38508478	26.16237743	26.87843264	25.19188579	27.31094229	26.74468668	27.09230252	27.46330311	27.87729143	32.45108666	31.58771225	34.13018154	28.24413192	29.88211502	32.83170894	29.00340064	29.74420869	30.08583269
Turkey	52.41680338	52.00048554	53.56007411	56.78908851	56.20594524	61.53332854	66.91190341	70.40688019	71.75168892	70.46373469	76.20126426	70.44790843	74.38982764	77.84900765	80.72297889	84.20970604	93.13647046	99.98656614	98.70071096	97.79270576	106.6623522	113.5097942	118.2257371	117.0302454	121.6719113	129.7818635	138.6284164
Kazakhstan	73.4591828	74.95539467	78.8564081	65.63212441	58.17283032	52.25623379	45.37399109	39.51475327	39.34718293	35.92845501	35.69152952	34.56763831	39.74161759	43.12202387	50.81505925	50.96429582	61.48975742	66.08426516	69.86313602	63.47044607	69.11482966	77.32801664	73.85903096	81.53847223	76.6641432	74.68421425	74.66245734
Russia	881.9941	872.8347505	800.1812879	756.5682628	659.577937	638.8207357	634.184388	605.9512489	591.6125666	608.6060038	618.8735599	625.5832002	622.6605633	644.9059652	646.9543986	651.3013174	670.2186552	672.1065391	687.7719864	646.5321275	687.8883779	721.3668524	739.4258534	728.5381861	710.5858637	689.7145147	691.5766491
Ukraine	242.7823991	244.5179223	212.1260144	188.9291053	160.9911921	160.0302338	147.0213124	140.0364431	131.9507408	131.0732885	129.5156167	129.6912928	131.3482166	140.6125282	139.8561712	142.8913508	137.3484971	137.8531971	134.5702713	114.4369623	132.3119621	126.459109	122.3930766	116.0501421	105.6705144	90.77124003	91.42556665
Uzbekistan	46.38256751	48.09543249	45.28092946	47.10377842	46.60351637	42.75546319	44.21330006	44.97077164	49.9818016	51.32457701	50.88158031	51.201146	53.3206341	51.55210411	50.81435611	47.09762594	48.11421763	47.78188287	49.79485336	44.21735406	43.22162556	47.36119966	48.4262306	42.97633511	43.68856855	44.91438528	43.66975429
Canada	210.9194558	210.2970282	215.3898396	222.7584101	230.6897867	233.7893574	238.4345143	240.9281278	239.6194569	246.3487007	253.5372782	250.0270463	250.7156599	263.9879708	270.1057473	271.6060441	268.4292181	270.1897999	272.4994837	262.2487231	264.902355	271.7241411	268.5066951	271.941095	280.1222396	274.0976469	273.2858356
United States	1910.049033	1925.513715	1963.92794	1998.421327	2035.915018	2062.773728	2108.425599	2129.884984	2156.492856	2206.189674	2269.127274	2226.613085	2256.436445	2261.634548	2308.240324	2319.520558	2297.559269	2337.932845	2277.688724	2165.505066	2216.185184	2191.327678	2162.169138	2188.838588	2222.553779	2203.006871	2203.921087
